"150919","Jesse Plemons","4","4","61","55","7.0","8, 7, 6, 7","The Irishman, The Master, The Power Of The Dog, Windfall"
"150920","David Strathairn","4","3","62","127","7.0","8, 8, 6, 6","Fracture, L.A. Confidential, Nomadland, Nightmare Alley"
"150921","Hugh Grant","4","4","63","56","7.0","8, 7, 7, 6","The Gentlemen, The Man From U.N.C.L.E., Death To 2020, Death To 2021"
"150922","Cillian Murphy","4","4","64","57","7.0","6, 6, 7, 9","Anna, A Quiet Place Part 2, Dunkirk, Sunshine"
"150923","Sandra Bullock","4","4","65","58","7.0","7, 7, 7, 7","Capote, The Unforgivable, A Time To Kill, Ocean’S 8"
"150924","Jeff Daniels","4","4","66","59","7.0","7, 7, 7, 7","Capote, State Of Play, Steve Jobs, Away We Go"
"150925","Kevin Costner","4","4","67","60","7.0","9, 7, 7, 5","Molly’S Game, Mr. Brooks, The Untouchables, The Highwaymen"
"150926","Bradley Cooper","4","3","68","142","7.0","7, 7, 8, 6","A Star Is Born, American Hustle, War Dogs, Nightmare Alley"
"150927","Laurence Fishburne","4","4","69","61","7.0","9, 7, 6, 6","Last Flag Flying, Death To 2020, Contagion, Apocalypse Now"
"150928","Michael Keaton","4","4","70","62","6.8","7, 6, 7, 7","Spotlight, The Other Guys, The Founder, The Trial Of Chicago 7"
"150929","Alec Baldwin","4","4","71","63","6.8","6, 5, 7, 9","Blackkklansman, Motherless Brooklyn, A Star Is Born, The Departed"
"150930","Robert Pattinson","4","3","72","148","6.8","6, 8, 5, 8","The Devil All The Time, Water For Elephants, Tenet, The Batman"
"150931","Alessandro Nivola","4","3","73","149","6.8","6, 7, 7, 7","The Red Sea Diving Resort, American Hustle, The Art Of Self-Defense, A Most Violent Year"
"150932","Jaeden Martell","4","4","74","64","6.5","8, 6, 7, 5","Knives Out, The Lodge, It, It Chapter 2"
"150933","Willem Dafoe","4","3","75","169","6.5","7, 5, 8, 6","Inside Man, Motherless Brooklyn, The Card Counter, Nightmare Alley"
"150934","Benicio Del Toro","4","4","76","65","6.5","7, 6, 6, 7","Sicario, Sicario Day Of The Soldado, No Sudden Move, The French Dispatch"
"150935","Robin Wright","4","4","77","66","6.5","7, 7, 6, 6","State Of Play, Moneyball, Everest, Wonder Woman 1984"
"150936","Kaya Scodelario","4","4","78","67","6.5","8, 7, 6, 5","The Maze Runner, Crawl, Maze Runner: The Scorch Trials, Maze Runner: The Death Cure"
"150937","Miles Teller","4","3","79","170","6.5","6, 6, 8, 6","Project X, Top Gun, War Dogs, Spiderhead"
"150938","Jake Gyllenhaal","4","4","80","68","6.2","7, 6, 6, 6","Prisoners, Okja, Everest, The Guilty"
"150939","Armie Hammer","4","4","81","69","6.2","7, 6, 5, 7","The Man From U.N.C.L.E., Rebecca, Sorry To Bother You, Death On The Nile"
"150940","Keira Knightley","4","3","82","186","6.2","7, 6, 6, 6","Atonement, The Jacket, Everest, Silent Night"
"150941","John Carroll Lynch","4","4","83","70","6.2","7, 5, 6, 7","The Founder, The Highwaymen, Fargo, The Trial Of Chicago 7"
"150942","LaKeith Stanfield","4","4","84","71","6.0","8, 6, 5, 5","Knives Out, Uncut Gems, Sorry To Bother You, The Purge: Anarchy"
"150943","Liam Hemsworth","4","4","85","72","6.0","7, 5, 5, 7","The Hunger Games: Catching Fire, The Hunger Games: Mockingjay Part I, The Hunger Games: Mockingjay Part Ii, Triangle"
"150944","Charlie Hunnam","3","2","86","207","8.7","8, 9, 9","The Gentlemen, King Arthur: Legend Of The Sword, Children Of Men"
"150945","Ewan McGregor","3","3","87","73","8.7","8, 9, 9","Doctor Sleep, Big Fish, Moulin Rouge"
"150946","Talia Shire","3","3","88","74","8.7","9, 9, 8","The Godfather, The Godfather Part 2, The Godfather Part 3"
"150947","Richard Bright","3","3","89","75","8.7","9, 9, 8","The Godfather, The Godfather Part 2, The Godfather Part 3"
"150948","Billy Crudup","3","3","90","76","8.3","7, 9, 9","Spotlight, Big Fish, Sleepers"
"150949","Don Johnson","3","3","91","77","8.0","8, 7, 9","Knives Out, Book Club, Django Unchained"
"150950","Anthony Hopkins","3","3","92","78","8.0","8, 8, 8","Fracture, The Two Popes, The Father"
"150951","Jeremy Strong","3","3","93","79","8.0","8, 9, 7","The Gentlemen, Molly’S Game, The Trial Of Chicago 7"
"150952","Himesh Patel","3","3","94","80","8.0","8, 8, 8","Yesterday, The Aeronauts, Don’T Look Up"
"150953","Colin Firth","3","3","95","81","8.0","8, 8, 8","1917, KingS Speech, Kingsman: The Golden Circle"
