"ID","Movies","Date","Genre","Rating","IMDB","Metacritic","Year","Director","Writer","Cast","Search","Budget","Revenue","Oscar"
"51","The Hunger Games: Mockingjay Part II","09/05/2020","Action, Adventure, Sci-Fi, Thriller","5","6.6","65","2015","Francis Lawrence","Peter Craig, Danny Strong","Jennifer Lawrence, Josh Hutcherson, Liam Hemsworth, Woody Harrelson, Donald Sutherland, Philip Seymour Hoffman, Julianne Moore, Willow Shields, Sam Claflin, Elizabeth Banks, Mahershala Ali, Jena Malone, Jeffrey Wright, Paula Malcomson, Stanley Tucci",,"160000000","658344137",
"52","Blood Diamond","15/05/2020","Adventure, Drama, Thriller","8","8","64","2006","Edward Zwick","Charles Leavitt, Charles Leavitt","Leonardo DiCaprio, Djimon Hounsou, Jennifer Connelly, Kagiso Kuypers, Arnold Vosloo, Antony Coleman, Benu Mabhena, Anointing Lukola, David Harewood, Basil Wallace, Jimi Mistry, Michael Sheen, Marius Weyers, Stephen Collins, Ntare Guma Mbaho Mwine",,"100000000","171720398","A:N/a:N/E:N/So:N/Z:N"
"53","Just Mercy","16/05/2020","Biography, Crime, Drama","6","7.6","68","2019","Destin Daniel Cretton","Destin Daniel Cretton, Andrew Lanham","Jamie Foxx, Charlie Pye Jr., Michael Harding, Christopher Wolfe, Michael B. Jordan, J. Alphonse Nicholson, Adam Boyer, Jacinte Blankenship, Bryan G. Stevenson, Brad Sanders, Charmin Lee, Brie Larson, Sebastian Eugene Hansen, John Lacy, Dominic Bogart",,"25000000","50401502",
"54","The Two Popes","22/05/2020","Comedy, Drama","8","7.6","75","2019","Fernando Meirelles","Anthony McCarten","Anthony Hopkins, Jonathan Pryce, Juan Minujín, Luis Gnecco, Cristina Banegas, María Ucedo, Renato Scarpa, Sidney Cole, Achille Brugnini, Federico Torre, Germán de Silva, Lisandro Fiks, Libero De Rienzo, Willie Jonah, Sofia Cessak",,"0","243711","A:N/a:N/s:N"
"55","State of play","24/05/2020","Crime, Drama, Mystery, Thriller","7","7.1","64","2009","Kevin Macdonald","Matthew Michael Carnahan, Tony Gilroy","Russell Crowe, Ben Affleck, Rachel McAdams, Helen Mirren, Robin Wright, Jason Bateman, Jeff Daniels, Michael Berresse, Harry Lennix, Josh Mostel, Michael Weston, Barry Shabaka Henley, Viola Davis, David Harbour, Sarah Lord",,"0","87812371",
"56","Forgotten","29/05/2020","Horror, Mystery, Thriller","8","7.4","0","2017","Hang-jun Jang(as Hang-jun Zhang)","Hang-jun Jang","Kang Ha-Neul, Yeon Je Hyung, Mu-Yeol Kim, Na-ra Lee, Seong-kun Mun, Myung-Ryul Nam, Lee Soon-won, Jung Taek-Hyun, Na Young-Hee",,"26000000","9968972",
"57","The other guys","30/05/2020","Action, Comedy, Crime","6","6.6","64","2010","Adam McKay","Adam McKay, Chris Henchy","Will Ferrell, Derek Jeter, Mark Wahlberg, Eva Mendes, Michael Keaton, Larnell Stovall, Jalil Jay Lynch, Roy T. Anderson, Ray Stevenson, Samuel L. Jackson, Andrew Secunda, Sara Chase, Dwayne Johnson, David Gideon, Joshua Church",,"100000000","170458922",
"58","Extraction","31/05/2020","Action, Thriller","6","6.7","56","2020","Sam Hargrave","Joe Russo, Ande Parks","Chris Hemsworth, Bryon Lerum, Ryder Lerum, Rudhraksh Jaiswal, Shivam Vichare, Piyush Khati, Sara Rumao, Randeep Hooda, Aarti Kulkarni, Umakant Patil, Praveen Indu, Swapnil Kokam, Pankaj Tripathi, Neha Mahajan, Pallas Prajapati",,"0","0",
"59","The invisible guest","03/06/2020","Crime, Drama, Mystery, Thriller","8","8.1","0","2016","Oriol Paulo","Oriol Paulo","Mario Casas, Ana Wagener, Jose Coronado, Bárbara Lennie, Francesc Orella, Paco Tous, David Selvas, Iñigo Gastesi, San Yélamos, Manel Dueso, Blanca Martínez, Pere Brasó, Jordi Brunet, Bobby González, Martina Hurtado",,"4760000","31191910",
"60","Primal fear","04/06/2020","Crime, Drama, Mystery, Thriller","8","7.7","47","1996","Gregory Hoblit","William Diehl, Steve Shagan","Richard Gere, Laura Linney, John Mahoney, Alfre Woodard, Frances McDormand, Edward Norton, Terry O'Quinn, Andre Braugher, Steven Bauer, Joe Spano, Tony Plana, Stanley Anderson, Maura Tierney, Jon Seda, Reg Rogers",,"30000000","102616183","a:N"
"61","Jojo rabbit","07/06/2020","Comedy, Drama, War","7","7.9","58","2019","Taika Waititi","Christine Leunens, Taika Waititi","Roman Griffin Davis, Thomasin McKenzie, Scarlett Johansson, Taika Waititi, Sam Rockwell, Rebel Wilson, Alfie Allen, Stephen Merchant, Archie Yates, Luke Brandon Field, Sam Haygarth, Stanislav Callas, Joe Weintraub, Brian Caspe, Gabriel Andrews",,"14000000","90335025","s:W/M:N/b:N/Co:N/P:N/E:N"
