"ID","Movies","Date","Genre","Rating","IMDB","Metacritic","Year","Director","Writer","Cast","Search","Budget","Revenue","Oscar"
"145","Cube","28/11/2020","Drama, Mystery, Sci-Fi, Thriller","6","7.2","61","1997","Vincenzo Natali","André Bijelic, Vincenzo Natali","Nicole de Boer, Nicky Guadagni, David Hewlett, Andrew Miller, Julian Richings, Wayne Robson, Maurice Dean Wint",,"284700","565727",
"146","Luce","04/12/2020","Drama, Mystery","7","6.7","72","2019","Julius Onah","J.C. Lee , Julius Onah","Naomi Watts, Octavia Spencer, Kelvin Harrison Jr., Tim Roth, Norbert Leo Butz, Andrea Bang, Marsha Stephanie Blake, Astro, Omar Shariff Brunson Jr., Noah Gaynor, Christopher Mann, Hannah Cabell, Colton Osorio, Gibson Frazier, Ian Unterman",,"0","2268204",
"147","The Call","11/12/2020","Crime, Horror, Mystery, Sci-Fi, Thriller","8","7.1","0","2020","Chung-Hyun Lee","Sergio Casci, Chung-Hyun Lee","Park Shin-Hye, Jong-seo Jun, Sung-ryung Kim, El Lee, Park Ho-San, Oh Jeong-Se, Kyung-Sook Jo, Ryu Kyung-Soo, Dong-hwi Lee, Chang-gil Moon, Jonny Siew, Yo-sep Song, Chae-Young Um",,"0","0",
"148","Last Flag Flying","12/12/2020","Comedy, Drama, War","9","6.9","65","2017","Richard Linklater","Richard Linklater, Darryl Ponicsan","Bryan Cranston, Laurence Fishburne, Steve Carell, J. Quinton Johnson, Deanna Reed-Foster, Yul Vazquez, Graham Wolfe, Jeff Monahan, Dontez James, Tammy Tsai, Richard Barlow, Cathy O'Dell, Jane Mowder, Richard Robichaux, Jerry Lee Tucker",,"0","1872950",
"149","The Dry","20/12/2020","Crime, Drama, Mystery, Thriller","7","7","66","2020","Robert Connolly","Harry Cripps, Robert Connolly","Eric Bana, Genevieve O'Reilly, Keir O'Donnell, John Polson, Julia Blake, Bruce Spence, William Zappa, Matt Nable, James Frecheville, Jeremy Lindsay Taylor, Joe Klocek, BeBe Bettencourt, Claude Scott-Mitchell, Sam Corlett, Miranda Tapsell",,"0","17305511",
"150","Akira","21/12/2020","Animation, Action, Sci-Fi, Thriller","8","8","0","1988","Katsuhiro Ôtomo","Katsuhiro Ôtomo, Izô Hashimoto","Mitsuo Iwata, Nozomu Sasaki, Mami Koyama, Tesshô Genda, Hiroshi Ôtake, Kôichi Kitamura, Michihiro Ikemizu, Yuriko Fuchizaki, Masaaki Ôkura, Tarô Arakawa, Takeshi Kusao, Kazumi Tanaka, Masayuki Katô, Yôsuke Akimoto, Masato Hirano",,"10560000","2569299",
"151","The Host","27/12/2020","Action, Drama, Horror, Sci-Fi","5","7.1","85","2006","Bong Joon Ho","Bong Joon Ho, Won-jun Ha ","Kang-ho Song, Byun Hee-Bong, Park Hae-il, Bae Doona, Ko Asung, Dal-su Oh, Jae-eung Lee, Dong-ho Lee, Je-mun Yun, Pil-sung Yim, Roe-ha Kim, Yeon-su Yu, No-shik Park, Su-hee Go, Scott Wilson",,"10414422","89433436",
"152","8 Mile","29/12/2020","Drama, Music","7","7.1","77","2002","Curtis Hanson","Scott Silver","Eminem, Kim Basinger, Mekhi Phifer, Brittany Murphy, Evan Jones, Omar Benson Miller, De'Angelo Wilson, Eugene Byrd, Taryn Manning, Larry Hudson, Proof, Mike Bell, DJ Head, Michael Shannon, Chloe Greenfield",,"41000000","242875078","Z:W"
"153","Die Hard","30/12/2020","Action, Thriller","8","8.2","72","1988","John McTiernan","Roderick Thorp, Jeb Stuart","Bruce Willis, Bonnie Bedelia, Reginald VelJohnson, Paul Gleason, De'voreaux White, William Atherton, Hart Bochner, James Shigeta, Alan Rickman, Alexander Godunov, Bruno Doyon, Andreas Wisniewski, Clarence Gilyard Jr., Joey Plewa, Lorenzo Caccialanza",,"28000000","141603197","Z:N/E:N/Z:N/Z:N"
"154","Sorry To Bother You","31/12/2020","Comedy, Fantasy, Sci-Fi","5","6.9","80","2018","Boots Riley","Boots Riley","LaKeith Stanfield, Tessa Thompson, Jermaine Fowler, Omari Hardwick, Terry Crews, Kate Berlant, Michael X. Sommers, Danny Glover, Steven Yeun, Armie Hammer, Robert Longstreet, David Cross, Patton Oswalt, Lily James, Forest Whitaker",,"3200000","18170707",
"156","Ip Man","31/12/2020","Action, Biography, Drama, History","8","8","59","2008","Wilson Yip","Edmond Wong, Tai-lee Chan","Donnie Yen, Simon Yam, Lynn Xiong, Hiroyuki Ikeuchi, Ka Tung Lam, Siu-Wong Fan, Xing Yu, You-Nam Wong, Yu-Hang To, Calvin Ka-Sing Cheng, Zhi-Hui Chen, Tenma Shibuya, Li Chak, Deqiang Shi, Zhong Zhou","Yip Man (2008)","11715578","22108789",
"157","Somm","06/01/2021","Documentary","7","7.1","58","2012","Jason Wise","Jason Wise","Bo Barrett, Shayn Bjornholm, Dave Cauble, Ian Cauble, Andrea Cecci, Fred Dame, Elizabeth Dowty, Whitney Fisher, Jay Fletcher, Jean Marie Fourrier, Wilhelm Haag, Drew Hendricks, Michael Jordan, Geoff Kruth, Mercedes Lam",,"0","174197",
"158","L.a. Confidential","09/01/2021","Crime, Drama, Mystery, Thriller","8","8.2","90","1997","Curtis Hanson","James Ellroy, Brian Helgeland","Kevin Spacey, Russell Crowe, Guy Pearce, James Cromwell, Kim Basinger, Danny DeVito, David Strathairn, Ron Rifkin, Matt McCoy, Paul Guilfoyle, Paolo Seganti, Elisabeth Granli, Sandra Taylor, Steve Rankin, Graham Beckel",,"35000000","126216940","b:W/s:W/Z:N/Z:N/C:N/Z:N/Z:N/E:N/Mo:N"
"159","Pieces Of A Woman","13/01/2021","Drama","6","7.1","66","2020","Kornél Mundruczó","Kata Wéber","Vanessa Kirby, Shia LaBeouf, Ellen Burstyn, Iliza Shlesinger, Benny Safdie, Sarah Snook, Molly Parker, Steven McCarthy, Tyrone Benskin, Frank Schorpion, Harry Standjofski, Domenic Di Rosa, Jimmie Fails, Juliette Casagrande, Gayle Garfinkle",,"0","0","B:N"
"160","The Departed","16/01/2021","Crime, Drama, Thriller","9","8.5","85","2006","Martin Scorsese","William Monahan, Alan Mak","Leonardo DiCaprio, Matt Damon, Jack Nicholson, Mark Wahlberg, Martin Sheen, Ray Winstone, Vera Farmiga, Anthony Anderson, Alec Baldwin, Kevin Corrigan, James Badge Dale, David O'Hara, Mark Rolston, Robert Wahlberg, Kristen Dalton",,"90000000","291465373","M:W/D:W/Z:W/E:W/a:N"
"161","The Paramedic","21/01/2021","Action, Adventure, Crime, Drama, Thriller","6","5.6","0","2020","Carles Torras","Rebeca Arnal, David Desola","Mario Casas, Déborah François, Guillermo Pfening, Maria Rodríguez Soto, Celso Bugallo, Raúl Jiménez, Pol Monen, Alice Bocchi, Martin Bacigalupo, Gerard Oms, Tony Corvillo, Sara Ruiz, Linda Morselli, Andrea Marmolejo, Mercè Sánchez Camps",,"0","0",
"162","Promising Young Woman","22/01/2021","Crime, Drama, Thriller","7","7.5","73","2020","Emerald Fennell","Emerald Fennell","Adam Brody, Ray Nicholson, Sam Richardson, Carey Mulligan, Timothy E. Goodwin, Clancy Brown, Jennifer Coolidge, Laverne Cox, Alli Hart, Loren Paul, Scott Aschenbrenner, Bo Burnham, Christopher Mintz-Plasse, Alison Brie, Gabriel Oliva",,"0","14835965","S:W/M:N/B:N/D:N/E:N"
"163","Mr. Brooks","23/01/2021","Crime, Drama, Thriller","7","7.3","45","2007","Bruce A. Evans","Bruce A. Evans, Raynold Gideon","Kevin Costner, Demi Moore, Dane Cook, William Hurt, Marg Helgenberger, Ruben Santiago-Hudson, Danielle Panabaker, Aisha Hinds, Lindsay Crouse, Jason Lewis, Reiko Aylesworth, Matt Schulze, Yasmine Delawari, Thunderbird Dinwiddie, Michael Cole",,"20000000","48443734",
"164","The Untouchables","29/01/2021","Crime, Drama, Thriller","7","7.9","79","1987","Brian De Palma","David Mamet, Oscar Fraley","Kevin Costner, Sean Connery, Charles Martin Smith, Andy Garcia, Robert De Niro, Richard Bradford, Jack Kehoe, Brad Sullivan, Billy Drago, Patricia Clarkson, Vito D'Ambrosio, Steven Goldstein, Peter Aylward, Don Harvey, Robert Swan",,"25000000","76270454","a:W/Z:N/Z:N/Mo:N"
"165","The Illusionist","06/02/2021","Drama, Fantasy, Mystery, Romance, Thriller","7","7.6","68","2006","Neil Burger","Neil Burger, Steven Millhauser","Edward Norton, Paul Giamatti, Jessica Biel, Rufus Sewell, Eddie Marsan, Jake Wood, Tom Fisher, Aaron Taylor-Johnson, Eleanor Tomlinson, Karl Johnson, Vincent Franklin, Nicholas Blane, Philip McGough, Erich Redman, Michael Carter",,"16500000","87892388","C:N"
"166","Blackfish","11/02/2021","Documentary","8","8.1","83","2013","Gabriela Cowperthwaite","Gabriela Cowperthwaite, Eli B. Despres","Tilikum, John Hargrove, Samantha Berg, Mark Simmons, Kim Ashdown, Dean Gomersall, James Earl Jones, Shamu, Carol Ray, John Jett, Dawn Brancheau, Jeffrey Ventre, Thomas Tobin, Dave Duffus, Jim Payne",,"0","2303417",
"168","The Red Sea Diving Resort","12/02/2021","Drama, History, Thriller","6","6.6","0","2019","Gideon Raff","Gideon Raff","Mbulelo Grootboom, Sizo Mahlangu, Michael Kenneth Williams, Masasa Mbangeni, Setlhabi Jacob Taunyane, Ditebogo Ledwaba, Motsi Tekateka, Reabetswe Modiga, Taye Tagese Leimango, Alessandro Nivola, Chris Evans, Simphiwe Ndhlebe, Yossi Vasa, Greg Kinnear, Faheem Vally",,"0","0",
"169","The Foreigner","13/02/2021","Action, Thriller","7","7","55","2017","Martin Campbell","David Marconi, Stephen Leather","Katie Leung, Jackie Chan, Rufus Jones, Mark Tandy, John Cronin, Caolan Byrne, Donna Bernard, Aaron Monaghan, Niall McNamee, Pierce Brosnan, Charlie Murphy, Orla Brady, Lia Williams, Michael McElhatton, David Pearse",,"35000000","145418070",
"170","Moulin Rouge","14/02/2021","Drama, Musical, Romance","9","7.6","66","2001","Baz Luhrmann","Baz Luhrmann, Craig Pearce","Nicole Kidman, Ewan McGregor, John Leguizamo, Jim Broadbent, Richard Roxburgh, Garry McDonald, Jacek Koman, Matthew Whittet, Kerry Walker, Caroline O'Connor, Christine Anu, Natalie Mendoza, Lara Mulcahy, David Wenham, Kylie Minogue",,"50000000","184935320","Z:W/Z:W/Z:N/B:N/C:N/E:N/Mu:N/Z:N"
"171","Death To 2020","17/02/2021","Comedy","7","6.8","0","2020","Al Campbell, Alice Mathias","Charlie Brooker, Annabel Jones","Samuel L. Jackson, Hugh Grant, Lisa Kudrow, Kumail Nanjiani, Tracey Ullman, Samson Kayo, Leslie Jones, Diane Morgan, Cristin Milioti, Joe Keery, Laurence Fishburne, Angelo Irving, Lily Sullivan",,"0","0",
"172","Argo","19/02/2021","Biography, Drama, Thriller","8","7.7","86","2012","Ben Affleck","Chris Terrio, Tony Mendez ","Ben Affleck, Bryan Cranston, Alan Arkin, John Goodman, Victor Garber, Tate Donovan, Clea DuVall, Scoot McNairy, Rory Cochrane, Christopher Denham, Kerry Bishé, Kyle Chandler, Chris Messina, Zeljko Ivanek, Titus Welliver",,"44500000","232325503","M:W/Z:W/E:W/a:N/Z:N/So:N/Z:N"
"173","Moneyball","21/02/2021","Biography, Drama, Sport","7","7.6","87","2011","Bennett Miller","Steven Zaillian, Aaron Sorkin","Brad Pitt, Jonah Hill, Philip Seymour Hoffman, Robin Wright, Chris Pratt, Stephen Bishop, Reed Diamond, Brent Jennings, Ken Medlock, Tammy Blanchard, Jack McGee, Vyto Ruginis, Nick Searcy, Glenn Morshower, Casey Bond",,"50000000","110206216","M:N/A:N/a:N/E:N/So:N/Z:N"
"174","Us","27/02/2021","Horror, Mystery, Thriller","9","6.8","81","2019","Jordan Peele","Jordan Peele","Lupita Nyong'o, Winston Duke, Elisabeth Moss, Tim Heidecker, Shahadi Wright Joseph, Evan Alex, Yahya Abdul-Mateen II, Anna Diop, Cali Sheldon, Noelle Sheldon, Madison Curry, Ashley McKoy, Napiera Groves, Lon Gowan, Alan Frazier",,"20000000","255184580",
"175","Synchronic","28/02/2021","Drama, Sci-Fi, Thriller","5","6.2","64","2019","Justin Benson, Aaron Moorhead","Justin Benson","Anthony Mackie, Jamie Dornan, Katie Aselton, Ally Ioannides, Ramiz Monsef, Bill Oberst Jr., Betsy Holt, Shane Brady, Kate Adair, Matthew Underwood, Carl Palmer, Martin Bats Bradford, Sam Malone, Rhonda Johnson Dents, Sophie Howell",,"0","1460112",
"176","What Dreams May Come","02/03/2021","Drama, Fantasy, Romance","7","7","44","1998","Vincent Ward","Richard Matheson, Ronald Bass ","Robin Williams, Cuba Gooding Jr., Annabella Sciorra, Max von Sydow, Jessica Brooks Grant, Josh Paddock, Rosalind Chao, Lucinda Jenney, Maggie McCarthy, Wilma Bonet, Matt Salinger, Carin Sprague, June Carryl, Paul P. Card IV, Werner Herzog",,"85000000","55382927","Z:W/Z:N"
"177","Last Action Hero","08/03/2021","Action, Adventure, Comedy, Fantasy","6","6.4","44","1993","John McTiernan","Zak Penn, Adam Leff","Arnold Schwarzenegger, F. Murray Abraham, Art Carney, Charles Dance, Frank McRae, Tom Noonan, Robert Prosky, Anthony Quinn, Mercedes Ruehl, Austin O'Brien, Ian McKellen, Professor Toru Tanaka, Joan Plowright, Keith Barish, Jim Belushi",,"85000000","137298489",
"178","Ford V Ferrari","12/03/2021","Action, Biography, Drama, Sport","9","8.1","81","2019","James Mangold","Jez Butterworth, John-Henry Butterworth","Matt Damon, Christian Bale, Jon Bernthal, Caitriona Balfe, Josh Lucas, Noah Jupe, Tracy Letts, Remo Girone, Ray McKinnon, JJ Feild, Jack McMullen, Corrado Invernizzi, Joe Williamson, Ian Harding, Christopher Darga",,"97600000","225508210","E:W/Z:W/M:N/So:N"
"179","Predestination","20/03/2021","Action, Drama, Sci-Fi, Thriller","8","7.5","69","2014","Michael Spierig(as The Spierig Brothers), Peter Spierig(as The Spierig Brothers)","Michael Spierig, Peter Spierig","Ethan Hawke, Sarah Snook, Christopher Kirby, Christopher Sommers, Kuni Hashimoto, Sara El-Yafi, Paul Moder, Grant Piro, Christopher Bunworth, Jamie Gleeson, Christina Tan, Dennis Coard, Milla Simmonds, Ruby Simmonds, Cate Wolfe",,"5100000","4942449",
"180","The World’s End","25/03/2021","Comedy, Sci-Fi","5","7","81","2013","Edgar Wright","Simon Pegg, Edgar Wright","Thomas Law, Zachary Bailess, Jasper Levine, James Tarpey, Luke Bromley, Sophie Evans, Samantha White, Rose Reynolds, Richard Hadfield, Flora Slorach, Francesca Reidie, Charlotte Reidie, Pierce Brosnan, David Bradley, Michael Smiley",,"20000000","46091271",
"181","Memories Of Murder","27/03/2021","Crime, Drama, Mystery, Thriller","8","8.1","82","2003","Bong Joon Ho","Bong Joon Ho, Kwang-rim Kim","Kang-ho Song, Kim Sang-kyung, Roe-ha Kim, Jae-ho Song, Byun Hee-Bong, Seo-hie Ko, Tae-ho Ryu, No-shik Park, Park Hae-il, Mi-seon Jeon, Young-hwa Seo, Woo Go-na, Ok-joo Lee, Jong-ryol Choi, Seung-mok Yoo",,"2800000","1159644",
"182","Crawl","31/03/2021","Action, Horror, Thriller","7","6.1","60","2019","Alexandre Aja","Michael Rasmussen, Shawn Rasmussen","Kaya Scodelario, Barry Pepper, Morfydd Clark, Ross Anderson, Jose Palma, George Somner, Anson Boon, Ami Metcalf, Tina Pribicevic, Srna Vasiljevic, Cso-Cso, Colin McFarlane, Annamaria Serda, Savannah Steyn",,"13500000","91542097",
"183","Hachi: A Dog’s Tale","01/04/2021","Biography, Drama, Family","7","8.1","0","2009","Lasse Hallström","Stephen P. Lindsey, Kaneto Shindô","Richard Gere, Joan Allen, Cary-Hiroyuki Tagawa, Sarah Roemer, Jason Alexander, Erick Avari, Davenia McFadden, Robbie Sublett, Kevin DeCoste, Rob Degnan, Tora Hallström, Donna Sorbello, Frank S. Aronson, Troy Doherty, Ian Sherman",,"16000000","46749646",
"184","The Assassination Of Jesse James By The Coward Robert Ford","02/04/2021","Biography, Crime, Drama, History, Western","8","7.5","68","2007","Andrew Dominik","Andrew Dominik, Ron Hansen","Brad Pitt, Mary-Louise Parker, Brooklynn Proulx, Dustin Bollinger, Casey Affleck, Sam Rockwell, Jeremy Renner, Sam Shepard, Garret Dillahunt, Paul Schneider, Joel McNichol, James Defelice, J.C. Roberts, Darrell Orydzuk, Jonathan Erich Drachenberg",,"30000000","15001776","a:N/C:N"
"185","Nobody","03/04/2021","Action, Crime, Drama, Thriller","7","7.4","63","2021","Ilya Naishuller","Derek Kolstad","Bob Odenkirk, Aleksey Serebryakov, Connie Nielsen, Christopher Lloyd, Michael Ironside, Colin Salmon, RZA, Billy MacLellan, Araya Mengesha, Gage Munroe, Paisley Cadorath, Aleksandr Pal, Humberly González, Edsson Morales, J.P. Manoux",,"16000000","45845320",
"186","The Green Mile","04/04/2021","Crime, Drama, Fantasy, Mystery","8","8.6","61","1999","Frank Darabont","Stephen King, Frank Darabont","Tom Hanks, David Morse, Bonnie Hunt, Michael Clarke Duncan, James Cromwell, Michael Jeter, Graham Greene, Doug Hutchison, Sam Rockwell, Barry Pepper, Jeffrey DeMunn, Patricia Clarkson, Harry Dean Stanton, Dabbs Greer, Eve Brent",,"60000000","286801374","Z:N/a:N/s:N/Z:N"
"187","6 Underground","05/04/2021","Action, Thriller","5","6.1","41","2019","Michael Bay","Paul Wernick, Rhett Reese","Ryan Reynolds, Mélanie Laurent, Manuel Garcia-Rulfo, Ben Hardy, Adria Arjona, Dave Franco, Corey Hawkins, Lior Raz, Payman Maadi, Yuri Kolokolnikov, Kim Kold, Lídia Franco, James Murray, Lukhanyo Bele, George Kareman",,"150000000","0",
"188","Steve Jobs","09/04/2021","Biography, Drama","7","7.2","82","2015","Danny Boyle","Aaron Sorkin, Walter Isaacson","Michael Fassbender, Kate Winslet, Seth Rogen, Jeff Daniels, Michael Stuhlbarg, Katherine Waterston, Perla Haney-Jardine, Ripley Sobo, Makenzie Moss, Sarah Snook, John Ortiz, Adam Shapiro, John Steen, Stan Roth, Mihran Slougian",,"30000000","34441873","A:N/b:N"
"189","Ip Man 2","12/04/2021","Action, Biography, Drama, History","7","7.5","67","2010","Wilson Yip","Tai-lee Chan, Hiu-Yan Choi","Donnie Yen, Xiaoming Huang, Sammo Kam-Bo Hung, Lynn Xiong, Kent Cheng, Darren Shahlavi, Yu-Hang To, Charles Mayer, Ka-nin Ngo, Calvin Ka-Sing Cheng, Siu-Wong Fan, Simon Yam, Christian 'Kang' Bachini, Brian Thomas Burrell, Li Chak",,"0","15089448",
"190","Little White Lies","14/04/2021","Comedy, Drama","7","7.1","50","2010","Guillaume Canet","Guillaume Canet","François Cluzet, Marion Cotillard, Benoît Magimel, Gilles Lellouche, Jean Dujardin, Laurent Lafitte, Valérie Bonneton, Pascale Arbillot, Anne Marivin, Louise Monot, Joël Dupuch, Hocine Mérabet, Matthieu Chedid, Maxim Nucci, Néo Broca",,"25000000","53319615",
"191","Project X","16/04/2021","Comedy","6","6.6","48","2012","Nima Nourizadeh","Matt Drake, Michael Bacall","Thomas Mann, Oliver Cooper, Jonathan Daniel Brown, Dax Flame, Kirby Bliss Blanton, Brady Hender, Nick Nervies, Alexis Knapp, Miles Teller, Peter Mackenzie, Caitlin Dulany, Rob Evors, Rick Shapiro, Martin Klebba, Pete Gardner",,"12000000","102731865",
"192","Searching","17/04/2021","Drama, Mystery, Thriller","8","7.6","71","2018","Aneesh Chaganty","Aneesh Chaganty, Sev Ohanian","John Cho, Sara Sohn, Alex Jayne Go, Megan Liu, Kya Dawn Lau, Michelle La, Joseph Lee, Dominic Hoffman, Sylvia Minassian, Melissa Disney, Connor McRaith, Colin Woodell, Debra Messing, Joseph John Schirle, Ashley Edner",,"880000","75462037",
"193","The Mauritanian","19/04/2021","Drama, Thriller","7","7.4","53","2021","Kevin Macdonald","Michael Bronner , Rory Haines","Tahar Rahim, Nouhe Hamady Bari, Saadna Hamoud, Mohamed Yeslem Mousse, Mohamed Abderrahmane Arava, Aly Deyde, El Hocine Aba, Baya Belal, Baba Mine, Lemrabott Zeine Sidamar, Yenje Abdellahi, Jodie Foster, Shailene Woodley, Clayton Boyd, Denis Ménochet",,"0","3777673",
"194","The Lodge","23/04/2021","Drama, Horror, Thriller","6","6.1","64","2019","Severin Fiala, Veronika Franz","Sergio Casci, Veronika Franz","Riley Keough, Jaeden Martell, Lia McHugh, Richard Armitage, Alicia Silverstone, Danny Keough, Lola Reid, Philippe Ménard, Jarred Atkin, Wally the Dog",,"0","3155858",
"195","Mother","24/04/2021","Crime, Drama, Mystery, Thriller","7","7.8","79","2009","Bong Joon Ho","Bong Joon Ho, Eun-kyo Park","Hye-ja Kim, Won Bin, Jin Goo, Je-mun Yun, Mi-seon Jeon, Sae-byeok Song, Yeong-seok Lee, Hee-ra Mun, Woo-hee Chun, Byoung-Soon Kim, Moo-yeong Yeo, Yeong-gi Jeong, Go Gyu-Pil, Mi-do Lee, Jin-gu Kim",,"5000000","17149348",
"196","King Arthur: Legend Of The Sword","30/04/2021","Action, Adventure, Drama, Fantasy","9","6.7","41","2017","Guy Ritchie","Joby Harold, Guy Ritchie","Charlie Hunnam, Astrid Bergès-Frisbey, Jude Law, Djimon Hounsou, Eric Bana, Aidan Gillen, Freddie Fox, Craig McGinlay, Tom Wu, Kingsley Ben-Adir, Neil Maskell, Annabelle Wallis, Zac Barker, Oliver Barker, Geoff Bell",,"175000000","148675066",
"197","The Age Of Adaline","01/05/2021","Drama, Fantasy, Romance","7","7.2","51","2015","Lee Toland Krieger","J. Mills Goodloe, Salvador Paskowitz","Blake Lively, Michiel Huisman, Harrison Ford, Ellen Burstyn, Kathy Baker, Amanda Crew, Lynda Boyd, Hugh Ross, Richard Harmon, Fulvio Cecere, Anjali Jay, Hiro Kanagawa, Peter J. Gray, Izabel Pearce, Cate Richardson",,"25000000","65663276",
"198","Seaspiracy","03/05/2021","Documentary, Adventure","7","8.2","0","2021","Ali Tabrizi","Stars:Ali Tabrizi, Richard O'Barry, Lucy Tabrizi","Ali Tabrizi, Richard O'Barry, Lucy Tabrizi, Lori Marino, Tamara Arenovich, Paul de Gelder, Callum Roberts, Gary Stokes, Peter Hammarstedt, Lamya Essemlali, Mark J. Palmer, George Monbiot, Jackie Nuñez, Dianna Cohen, Chris Langdon",,"0","0",
"199","American Hustle","04/05/2021","Crime, Drama","7","7.2","90","2013","David O. Russell","Eric Warren Singer, David O. Russell","Christian Bale, Bradley Cooper, Amy Adams, Jeremy Renner, Jennifer Lawrence, Louis C.K., Jack Huston, Michael Peña, Shea Whigham, Alessandro Nivola, Elisabeth Röhm, Paul Herman, Saïd Taghmaoui, Matthew Russell, Thomas Matthews",,"40000000","251171807","M:N/A:N/B:N/a:N/b:N/Co:N/D:N/E:N/P:N/S:N"
"200","Two Hands","08/05/2021","Comedy, Crime, Thriller","7","7.1","0","1999","Gregor Jordan","Gregor Jordan","Heath Ledger, Bryan Brown, David Field, Tom Long, Tony Forrow, Steven Vidler, Dale Kalnins, Kiri Paramore, Bill Drury, David Moeaki, Mathew Wilkinson, Rose Byrne, Mary Acres, Evan Sheaves, Jarrah Darling",,"0","0",
"201","Maze Runner: The Scorch Trials","09/05/2021",,"6","6.3","43","2015","Wes Ball","T.S. Nowlin, James Dashner","Dylan O'Brien, Ki Hong Lee, Kaya Scodelario, Thomas Brodie-Sangster, Dexter Darden, Alexander Flores, Jacob Lofland, Rosa Salazar, Giancarlo Esposito, Patricia Clarkson, Aidan Gillen, Terry Dale Parks, Kathryn Smith-McGlynn, Lili Taylor, Barry Pepper",,"61000000","312296056",
"202","Stowaway","13/05/2021","Drama, Sci-Fi, Thriller","6","5.6","63","2021","Joe Penna","Joe Penna, Ryan Morrison","Anna Kendrick, Daniel Dae Kim, Shamier Anderson, Toni Collette",,"0","0",
"203","The Father","14/05/2021","Drama","8","8.3","88","2020","Florian Zeller","Christopher Hampton, Florian Zeller","Olivia Colman, Anthony Hopkins, Mark Gatiss, Olivia Williams, Imogen Poots, Rufus Sewell, Ayesha Dharker, Roman Zeller",,"0","7271008","A:W/s:W/b:N/E:N/P:N/M:N"
"204","Sleepers","16/05/2021","Crime, Drama, Thriller","9","7.6","49","1996","Barry Levinson","Lorenzo Carcaterra, Barry Levinson","Kevin Bacon, Billy Crudup, Robert De Niro, Ron Eldard, Minnie Driver, Vittorio Gassman, Dustin Hoffman, Terry Kinney, Bruno Kirby, Frank Medrano, Jason Patric, Joe Perrino, Brad Pitt, Brad Renfro, Geoffrey Wigdor",,"44000000","165615285","Mo:N"
"205","Spy Game","20/05/2021","Action, Crime, Thriller","7","7.1","63","2001","Tony Scott","Michael Frost Beckner, Michael Frost Beckner","Robert Redford, Brad Pitt, Catherine McCormack, Stephen Dillane, Larry Bryggman, Marianne Jean-Baptiste, Matthew Marsh, Todd Boyce, Michael Paul Chan, Garrick Hagon, Andrew Grainger, Bill Buell, Colin Stinton, Ted Maynard, Tom Hodgkins",,"115000000","143049560",
"206","Another Round","22/05/2021","Comedy, Drama","8","7.8","80","2020","Thomas Vinterberg","Thomas Vinterberg, Tobias Lindholm","Mads Mikkelsen, Thomas Bo Larsen, Magnus Millang, Lars Ranthe, Maria Bonnevie, Helene Reingaard Neumann, Susse Wold, Magnus Sjørup, Silas Cornelius Van, Albert Rudbeck Lindhardt, Martin Greis-Rosenthal, Frederik Winther Rasmussen, Aksel Vedsegaard, Aya Grann, Gustav Sigurth Jeppesen",,"0","4306221","I:W/D:N"
"207","Triggered","23/05/2021",,"4","5.1","48","2020","Alastair Orr","David D. Jones","Reine Swart, Russell Crous, Liesl Ahlers, Cameron Scott, Steven John Ward, Paige Bonnin, Kayla Privett, Suraya Rose Santos, Sean Cameron Michael, Michael Lawrence Potter, Craig Urbani, Johan Baird",,"0","0",
"307","Godzilla Vs Kong","31/12/2021","Action, Sci-fi, Adventure","7","0","0","2021","Adam Wingard","Eric Pearson, Max Borenstein","Alexander Skarsgård, Millie Bobby Brown, Rebecca Hall, Brian Tyree Henry, Shun Oguri, Eiza González, Julian Dennison, Kyle Chandler, Demián Bichir, Lance Reddick, Van Marten, Kaylee Hottle",,"0","0",
"308","Death To 2021","01/01/2022","Comedy","6","0","0","2021","Josh Ruben","Jack Clough","Hugh Grant, Lucy Liu, Tracey Ullman, Samson Kayo, Joe Keery, William Jackson Harper, Stockard Channing, Cristin Milioti, Diane Morgan, Nick Mohammed",,"0","0",
"309","The Master","08/01/2022","Drama","7","0","0","2012","Paul Thomas Anderson","Paul Thomas Anderson","Joaquin Phoenix, Philip Seymour Hoffman, Amy Adams, Laura Dern, Jesse Plemons, Amy Ferguson, Frank Bettag, Leonida A. Bautista, Ambyr Childers","the master phoenix","0","0",
"310","It","14/01/2022","Horror, Mystery & thriller","7","0","0","2017","Andy Muschietti","Chase Palmer, Cary Joji Fukunaga, Gary Dauberman","Jaeden Martell, Jeremy Ray Taylor, Sophia Lillis, Finn Wolfhard, Chosen Jacobs, Jack Dylan Grazer, Wyatt Oleff, Bill Skarsgård, Nicholas Hamilton, Jake Sim, Logan Thompson, Owen Teague, Jackson Robert Scott, Stephen Bogaert, Stuart Hughes, Geoffrey Pounsett, Pip Dwyer, Molly Atkinson, Steven Williams, Elizabeth Saunders","It (2017) jaeden","0","0",
"311","Devil’s Advocate","15/01/2022","Horror, Mystery & thriller, Fantasy","8","0","0","1997","Taylor Hackford","Andrew Neiderman, Jonathan Lemkin, Tony Gilroy","Keanu Reeves, Al Pacino, Charlize Theron, Jeffrey Jones, Judith Ivey, Connie Nielsen, Craig T. Nelson, Tamara Tunie, Ruben Santiago-Hudson, Debra Monk, Vyto Ruginis, Laura Harrington, Pamela Gray, Heather Matarazzo",,"0","0",
